,reviews
148,"I had a booked ticket (H/row/Cairo) for 16/3/2020, as Ihad heard nothing from the airline about problems dueto Covid 19, I travelled from Yorkshire the previous day and flew - arriving at my hotel at 10pm. At 10am, next morning I was told by the receptionist that Cairoairport was closed - from that day until further notice.I went to British Embassy - who were as much use as the proverbial ""chocolate fireguard"". Despite several""repatriation flights"" AND the Embassy having 3 phone numbers for me - I was clearly not consideredsufficiently ""at risk"" to be included. TWO weeks later,after existing on a diet of take away food (all cafes/restaurants closed by the Government) I received a phone call at 8.45am which asked me to look onlineat the repatriation flight which was advertized at10,000LE - single - by Air Cairo. I took a taxi to theoffice (outside Cairo) only to discover that by midday(when I arrived) the fare had increased by 700LE (£35). I had taken exactly 10,000 so could not pay forthe ticket. I then went to a bank and asked them totransfer 10,700LE to Air Cairo - this they did and saidAir Cairo were charging an extra 70LE to RECEIVEthe transfer. The clerk told me he had  NEVER knowna demand for a payment for the RECEIPT of money.THIS was the ""repatriation"" flight arranged by theBritish Embassy!!I have since learned that Air Cairo is an offshoot ofEgyptair!I think you could truthfully say the British Embassy and Egyptair are ""sisters under the skin"".I am 80 years of age, lame from birth and was travelling alone."
149,"WORST FLIGHT EVERRRR!! My wife and I travel regularly and we have never been treated with such disrespect and discrimination as we did during this flight. STAY AWAY FROM TRAVELING WITH EGYPTAIR, IT'S THE WORST AIRLINE EVER!!!!!!!"
150,"Cancelled my booking without telling me. I randomly found out by looking at the egyptair website to see if i could book another bag. They dont respond to emails, their german numbers dont work. My mum phoned their cairo number and they basically said i could only reschedule one time or i would have to pay for another flight. They also said they couldnt confirm whether the rescheduled flight would also be cancelled. So THEY cancel the flight and if THEY cancel again I will pay for nothing. Seems like its in their interest to cancel again..."
151,"I booked to fly to Egypt with Egyptair and was forced to cancel my flight on 25 March due to COVID-19. It has now been over 10 weeks and Egyptair refuse to refund me. According to my travel agent, the airline has decided to with hold all refunds of customers until they are 'back up and running.'This is completely illegal and a gross breach of CAA regulation. I am having to take the airline to court in order to get the refund. THIS IS TOALLY UNACCEPTABLE. Do not book with this thieving criminal airline."
152,Very satisfied and they helped good with my problem. I wanted to book a ticket. After that the website blocked when i wanted to pay. The money was from my bankaccount but i did not fly with this flight. After 1 call he gived me the emailadress. So i send the email with the story and the same day they transfer my money back.Before i travelled a lot with Egyptair. Always had good flights. On time and the service while flying is always good.
153,"I booked my cousin with Egypt airlines from Johannesburg to Frankfurt and honestly speaking am just irritated by them ,I will never use them again,she lost her bag and this was on the 2nd of March ,today it's the 14th of March no one has given us any information about the lost bag and also no one ever picks up the calls ,being calling everyday and no one picks the calls ,very terrible honestly"
154,"Great check in ,good entertainment, decent food and good staff"
155,"Worst customer service, they cancelled my booking from Nairobi to Cairo. Hours before my scheduled flight, I received an e-mail stating that my booking was confirmed but needed to check-in in the airport, once I tried to check-in the airport I was informed that my booking was cancelled and can not board the plane. All Information they gave me, is to go to Egyptair’s website and contact them, the website  has 100’s of numbers that do not answer. After 5 hour of trying different phone numbers, the number that worked was the UAE number. Worst customer service if something goes wrong with your flight, do not recommend this airline."
156,"I purchased my husband's flight with my debit card through egyptair only to find out later when reading their policy that "" the card holder must be one of the travelers in each of the online booking considering that if the customer failed to present the card used for purchasing the ticket(s) during check-in time, EgyptAir has the right to deny passenger boarding""I am livid! Why would I need to flight all the way across the world to show that I am the one who made a ticket purchase with my card for my husband. My husband is migrating from Accra to the United States where I am. This is horrible EgyptAir!!!!!! I was feeling hopeful about using your airline, but all that hope is now gone...Let me guess that I will have to pay to cancel the flight? I will also have to wait 5-7 business days for my money to be refunded causing my husband to be further delayed coming where I am AFTER waiting 2 year to finally get through the immigration process smh.... I am Over it!!!! Highly dissatisfied with this airline.........."
157,"Egyptair stole my money.I made a seat reservation for my mom on her flight and paid by my credit card. The money was taken from my account, but on the day of the flight my mom was told that there is no seat reserved for her and they gave her a random seat.I contacted them many times and submitted a refund request. They admitted the case and responded ""mail has been forwarded to the concerned financial department in order to refund the deducted amount"". And then they stopped responding to me emails anymore."
158,"Worst airlines. Worst Customer services. Worst migration services ever in Cairo. I had all my Legal Documents and a Visa to Amsterdam. They told me the visa is about to expire and asked me if I havea ticket to USA because my final destination was in USA after staying some days in Amsterdam. I told them if i have access to my phone and the internet, i can show you. It is in my emails and if not i can call my son or family to send me the air ticket to USA but they said no. I understood afterwards they need bribes. I didn't not get it at that time. They locked me and deported me to Asmara. What a sad story! I was shocked and ""the EgyptAir customer services is the worst service"" said my Son when he tried to contact the airlines when they locked me and lost contact. I was wrong i should have booked in Ethiopian airlines from the very bigging. After 4 days i arrived in USA."
159,"Worst airline ever. I am someone who travels 1-2 times/year and been doing so for several years. I had traveled with so many airlines; domestic and international. my experience with Egypt air was the worst by far. they are unprofessional, rude, unhelpful. their airplanes are dirty, saturated with cigarettes smell, their food is really terrible."
160,"Very poor quality of service, staff were very rude and unprofessional in the airport, we booked a flight from Dubai to Casablanca by Cairo for an hour, the staff on the plane with a very F** attitude and the problem they left our luggage in Cairo. I cancelled the future ticket even its a non refundable, absolutely I will book with another flight company."
161,"Egyptair Company,  Me and my wife from Erbil wanted to go to Toronto via Egypt.  We got the tickets and didn't have any problems until we came to Egypt.  When the plane landed in Egypt, we continued to receive boarding passes from Egypt to Toronto.  Then we were directed to the hotel for transit passengers at the airport.  We were told that the room would be provided by the hotel staff within 1 or 2 hours.  After six hours, they didn't provide us with a place to rest.  When we turned to them to ask why they didn't provide us with a place, we were told that the Canadian Embassy did not allow us to continue our trip to Canada.  We were not allowed to fly from Egypt to Toronto.  However, we have provided round-trip tickets, Canadian visa and passport, invitation letter from school, invoice, accommodation.  When we asked them to give us any documents stating that the Canadian Embassy did not want us to go to Canada, they said that they could not share any information or documents about it.  After we had the following flight to Erbil for 33 hours, I asked them to provide a room.  But they didn't give us any room and asked us to sit on the chairs and we had to sit on the chairs for 16 hours.  They insulted us and treated us like we did a crime.  The next day we returned to Erbil with a 23:00 flight and immediately went to the EgyptAir office in Erbil.  Upon our request, they could not give any document showing our situation.  In the meantime, we learned that they gave a document to a family like us with a similar problem.  EgyptAir led us to VFS Global, a visa office.  We went to VFS 2 times globally and each time it told us that there isn't any disqualification to go to Canada.  We sent a mail to the Canadian Embassy, ​​they said that you did not see any harm in your flight from Canada.  By the way our luggages claim, they didn't give them back but two days.  We didn't have any clothes.  Claiming our luggages, one of them was broken.  We had to find a place to stay during this time because we used to live in Sulaymaniyah, not Erbil, and we had to buy new clothes.  a day or two later we bought a $ 4700 ticket again and we flew CANADA in transit through Europe on the way or did not experience a problem in CANADA.  I want to use the Egyptian airlines again, we want our money again, but they did not give me"
162,"I have traveled using Egypt air maybe 3 or 4 times. The plane crew has always been very respectful, kind, and understanding. They try to make your experience as comfortable as possible. The issue arrives when you reach the airport in Egypt and you are met with the airport staff. The other times i arrived and had a layover over of 12 hours or more the airline has always accommodated me with a hotel room. When I came this time in January 2020 I had a layover of 14 hours I followed the signs and reached the information desk and asked If i would be getting a room like every other time. I'm not sure what is going on in egypt but because I could not speak their language they were very rude. I was told they are not responsible for providing me anything and if I wanted to sleep I could sleep in the prayer room or on a bench somewhere. I get it hotels are not cheap so If I could not get a free one I'd just pay for one. I asked if I could go pay for one, the person behind the desk said go back down stairs and talk to someone there. I tried to go down stairs the security guard grabbed me and started yelling at me in a language I did not understand. I tried to explain to him that I have a flight in 14 hours so I'm trying to get a hotel room. He took me to a sign that had English writing in it saying ""passengers departing cant go this way."" Again i tried to explain to him that the people behind the desk told me to go this way. He started banging the sign and pointing to it like I didnt get it. Not trying to get into an issue with him i went back to the desk which was about 15 feet from those stairs. I asked the person behind the desk if they could please explain to this gaurd to let me through. I get to the desk now this person has changed i tried to explain to him my situation and this guy told me I dont pay his wages and he cant walk around and hold my hand telling everyone to make my life easier. He also said you westerners always want things handed to you. I have never seen such a disrespectful airport in my life. fI figured I'd just walk around to kill time I used the washroom and the cleaner handed me a paper towel as im leaving the washroom he was screaming at me ""foolos"" or something like that, I soon find out that it means money. He wanted money for handing me a towel lol. I use to recommend Egypt air but after that experience Id never travel with them again I'll pay 1000$ extra for a ticket but not use them and for sure i will never travel through Egypt. I was disgusted with their customer service, and lack of empathy. This is not how you treat customers or guests in your country."
163,"I had a very good experience with Egypt air in regards of the service, and the price.I would recommend it to all my friends and people I know to travel on it. Also I want to to thank the flight attendant Heba Talat who made our trip so comfortable and enjoyful by providing us with all the assistance that we asked for.Honestly it was my first time and definitely not the last one."
164,"Not a single star this airlines deserves .I lost my baggage & from last 1.5 month they nearly blocked all my numbers & emails and not responding to my mails.I don't understand how a operator work like this, harrasing customer is their job.Not a single person from egypt airlines is helping me when i call to customer incase they lift they tell to update within 10 mins but never return back.I have all documented & audio proof , iam going to address it to IATA"
165,Only got one star cause I couldn't give it none. No one answers the phone. Changed flight without notice then checked me in so I couldn't claim compo. Worst ever!
166,"What a horrible airline to fly with, The  seats on their new plane were very small and  very uncomfortable.  I spent almost a week trying to get a seat, You call the company and be on hold for a minimum of an hour and sometimes two.   I would definitely try another airline next time."
167,"Very poor customer service and dishonest disrespectful staff, from agent to supervisors. I called to reschedule my return flight to Egypt. I paid what the rep asked to pay thinking that I am paying the plenty which is fine, but I found out later that the flight class also changed and that was without informing me and without my agreement. I Called again to inform a supervisor with the mistake thinking that I would get help. Spoke with Aymen who introduced himself to me as a supervisor, told him what happened, he simply said that is how it worked, we don’t tell details to the customers to save their time, which by the way would take one sec from the rep to tell me the class changed from X to Y, and he continued saying we tell the customer the total only. First and last time I use this kind of disrespectful, dishonest airlines."
168,"I am giving this Carrier a 1 star because 0 is not possible. The customer service is non existence. I was fooled by their affordable ticket price but believe me, I regret not going for prestigious airlines like Ethiopian. I was given 1 luggage allowance for international flight, which I did not have a problem with but once I bought seats and extra luggage online, there was no confirmation or no email sent to me nor was i able to see these changes reflected in my booking online. All teh customer service telephones worldwide and email they give on the webpage do not work. In addition, the agent tehy work with namely opodo, also is not helping their case. NEVER AGAIN with Egypt air. NEVER!"
169,Very poor service. This is the first time I am experiencing such a bad flight. The staffs were just acting as they are deaf end dumb. Not listening to any requests. 3 times I asked for water but they told 1 min and went and no response. Food was also not at all good. No refreshments offered for first 1.30 hours not even water. Whatever we ask staffs will never provide they will say wait and will just forget.
170,I am still in shock for how bad this company is. From the staff to the plane to the food and to the feeling of safety.... just awful. Whatever you do DO NOT travel with Egyptair.
171,"No Compensation for Missing Suitcase After Four and a Half MonthsIt has been four and a half months since Egyptair lost my suitcase. Since then, I have not received my suitcase or any compensation. This all happened after my husband and I experienced delayed flights and cancelled flights without any prior communication. In my dealings with Egyptair, my communications have been ignored most of the time. The service I have received from Egyptair throughout my entire experience with them has been extremely poor and very disappointing. Egyptair eventually came back to me with an offer to pay only 68% of my missing suitcase claim. Except for the things that Egyptair can never pay me back for (the three days of holiday in Rome that we lost and will never get back, my wedding earrings that I took with me on holiday, the sentimental souvenirs of the places we visited), they are not even willing to pay me the full amount of the missing items in my suitcase. Shame on you Egyptair. I will never ever fly with Egyptair again. I would rather pay double the price anywhere else, as you lose a lot more by flying with Egyptair anyway."
172,"Let me assure you, they will steal your luggage, and you will never get compensated. This is exactly what happened to me. THREE MONTHS AGO. Here are all the emails I have contacted: MyBaggage@egyptairInsurance@egyptairwecare@egyptaircustomer.svs@egyptaircallcenter@egyptaircomplains@civilaviationAll above end with "".com"" but I can't paste entire email as it is again trustpilot policy.non of them, and I mean NON OF THEM, replied a single email.Stay away from these thieves."
173,Well my flight was bad last night from Cairo to luxor on the 4th November you say the cabin crew are good we'll they wasn't very rude and no. Smile a wat so ever I ask for water. She just looked I was sit in 24 a and down below my feet was a big hole and called the crew man he said that's no problem u be OK and all the dust and rubbish in that hole it was bad so u say its a good airline where and u don't get any drink and they talk bad and rude and look at u like u are a ghost
174,Worst company ever.We have been canceled and had to pay for a new ticket. Never been payback even though i ve written to the customer service and even the CEO in France. What a shame to work like that in 2019 !
175,"Booking a trip from US to LOS in December and saw Egyptiar tickets and thought this might be a good flight since the travel time is shorter than Delta or Emrates. Bad Idea...I got charged on my card and no booking itinerary or confirmation was provided; I called customer service and was on the phone for more than three hours. After 12 hrs and me talking to my bank, and blasting them on twitter, a confirmation came in which at this point I was canceling and requesting a refund but not until I talked to a customer the next day, who told me I get my whole refund if I cancel within 24hrs. The 21 days later, being informed that they only going to refund some amount...this is my current battle with them. I guess other peoples review are spot on and accurate...heed these comments, it will save you a whole lot of headaches i promise youMy advice, go with any other airlines except Egyptair, because the small difference in price is not worth it."
176,"We live in NY and spent a long vacation in Egypt touring the sites.  We arrived in Egypt via Lufthansa which included a stop over.  On the way home, we found a star alliance member flight, Egypt Air, which served a non-stop route from Cairo to JFK.  We thought this 12 hour flight would be ideal as we would likely be exhausted from all the sightseeing.  THIS WAS A MISTAKE.The captain smoked cigarettes throughout the whole flight.  The aircraft smelled of smoke and flight attendants acknowledged this, confirmed it was the captain smoking, and proceeded to spray a hideous perfume around the cabin to help mask the stench.  This made it worse!  The entire aircraft was coughing...ironically the no smoking sign stayed illuminated throughout the whole flight.I find it ironic that the entire airline is dry (no beer, wine or liquor), but the captain can fill the air with cigarette smoke for a long haul flight.  Google other reviews as this is not the first time.If you have any choice in airline...opt for a stop over and avoid this airline at all costs."
177,Ok why do you let the pilots smoke on a plane??? Ever heard of safety?
178,I had a great  flying  experience with  Egypt Air recently.  Rode the new Dreamliner I think. Flew from Frankfurt to Cairo. Although seating in Economy was tight it was a pleasant flight.  Good service.  Very helpful staff.  Decent meal.  Happy to have had the opportunity to fly Egypt Air again.
179,"My husband and I had the worst experience ever. We vowed never to use Egyptair again. When we booked the flight, the layover time was 1hr at Cairo. Getting there, our connecting flight had left and we had to go to Entebbe where we had to wait for 7hrs before catching a flight to our final destination- Nairobi. The return flight was the same delay. That inconvenienced our schedule additionally, our suitcases were damaged and the air attendants were soo rude."
180,"Awful, flights are always delayed"
181,I wish I could give no star for this airline because it doesn't deserve it. It was my first and last time to travel with it on the 30th .08.2019.They didn't transfer my luggage to the connecting plane and I am still waiting for stupid 4 days for my luggage to be delivered even after the guy at the lost luggage desk at Munich told me it will only 1 to 2 days for my luggage to be delivered at my address. Let me even not start with the service and food....the worst airline ever. Aarrrgggghhhh.....there is nothing nice to say about this flight.
182,"Some pilots lack the experience of smooth landing and take-off. Most of the stewards are hostesses are very polite and so helpful. However some are not. I recommend you to fly with Egyptair. I flew with Egyptair more than ten times with transit , to and fro, which means more than forty flights. I am very satisfied with the services that are provided by Egyptair."
183,"Do not use this airline. We are currently in Kenya, due to fly to ciaro on the one and only flight they run per day..then to our Connecting flight to Heathrow. Attempted to check in this morning (15 hours before flight) to find that our first journey showed us as 'stand by' with no seat allocation. Meaning they had overbooked the plane and we would not be gaurented entry. We booked this tickets and paid for them 10 months ago. If we are not allowed on this plane then we must wait until 7am sunday morning to get as far as ciaro. Did I mention this flight is also fully booked? On the way here our luggage was lost for three days during the transit. My mother in law flew out two days earlier, arrived at Heathrow to be told by Egypt air they would not be making two stop overs not the one they booked 9 months prior. My mums flight home last week was delayed, so they missed their connection. They then tried to sit her and her 12 year old grandson on opposite sides of the plane after the 8 hour airport wait. Oh and of course, no luggage at Heathrow when they finally made it back after 25 hours of travel.They are a disgusting airline and I would never fly with them again. My wedding is in one week so we have had to pay out 2k for direct flights home as we could be stuck her for 2-3 days before getting a flight otherwise."
184,"I was a bit worried about flying with Egypt Air as I have never tried them before.  Great airline, friendly staff, nice food.  The only problem I had was that the in-flight entertainment system was a little worn out and the supplied earphones weren't great.  But that was find as the price was very competitive."
185,"Flew with Egyptair from Heathrow to Cairo then onto Luxor, after reading bad reviews was concerned but everything ran smoothly, staff were polite, food was good and cases arrived intact. Would fly with them again."
186,Very Poor frequent flyer program . the miles accrual is not clear and doesn't allow miles transfer to other Egypt air members frequent flyer member.
187,MS919 ... i have just entered the airplane to see my seat is wet with urine or vomiting or something ... i asked them to change the seat and i was shocked with their horrible attitude... they don’t make eye contact they don’t talk in a nice way .. and guess what? This wet dirty seat wasn’t my seat.. they have changed the dirty seat with my seat rather than cleaning it ... it smells sooo bad i am about to faint ... i need your help please... we didn’t take off yet but am standing here cause they can’t find a vacant seat for me ... i will stand for the whole flight long and i am diabetic type1 btw so I won’t survive ...Please help !!!!!!I am standing for more than 20 mins now and passengers should never be treated like this and they didn’t show any help they are sooo rude I cannot imagine those people are called hostesses!!!!!
188,"EgyptairVery good serviceChanged reservation quicklyOne word , real awesomeLoved ITAndreas ILIOU"
189,"I am Egyptian and i am sooooo dissapointed with Egypt Air. i have travel with them for years and they will never change. The plane is dirty, they never clean it, interior fabrics are all dirty and ripped and the seats are broken. The staff are very rude and are lazy and not helpful at all. Many times i hear the plans make loud noises my only worries is that they serviced them properly. Once when booking the prices were high i told the manager why are they so high when we are not in peak season and the plane is empty, his reply was you like you travel you don't we take cargo instead. This is their mentally and all branches in Cairo and Europe are rude and not helpful. My advice stay away from Egypt air and Egypt Air port they are also thieves and take your things and sometimes they will blackmail you for your goods. As an Egyptian please boycott them so they can fix their corrupted companies."
190,If the complain about this airline is this bad. What is the Aviation Authority doing about it?
191,"Felight attendent heba on flight number MSR902 ( date: 21 april 2019) is extreemly rude to everyone. I habe never seen something like that before. She was literally pushing people arround. She pushed ome guy down to his seat!!I asked her polity to tell those in front of me to switch their phones off since they were talking on their phones while the airplane was taking off ( the pilot mentioned earlier that we must do that) she got really mad at me and said its something they take care of and thats not the right time to do .... then she told the guy in arabic, the women sitting behind is complaining about you using your phone!"
192,"highly recommended, very warm crew and great timings with reasonable prices, love it"
193,"I have used more than 10 airways in my life.and by far,egypt air is the worst expirance i ever had.i was traveling to addis ababa from guangzhou.we had 17 hours transit.and we were told the airline will provide good hotel service and food and beverage at city of cairo by transit visa.but when we arrive,they told us they cant let us out to the city and gave us room in the hotel.they put 3 people that dont know each other in one bed room which only have two beds.the room was so old and the smell of the toilet was very very aweful.on top of that,they food they gave us was the left over dishes from the plane and they didnt even have anything to drink.the airport has no wifi.so we couldnt use internet the whole time we were in egypt.the stuff was very rude and kind of racist.over all,the whole expirance had me feeling like i was in prison to be honest.i wish it was posibble to upload photos  and videos here so you could realy see  what i am talking about.if ever tought about trying egypt air,i gurantee it is going to be your worst expirance ever.so please avoid egypt air."
194,"we recently travelled from heathrow to luxor via cairo.Although I cant fault the planes and the attendants,the baggage control left alot to be desired.On the outbound flight my hard suitcase arrived with a split on 2 and a half sides,which appeared to be caused by either somebody standing on it or considerable weight placed onto of it,and my wife's case had slight damage to it.On the return journey my wife's case arrived with the corner broke off and 2 wheels missing"
195,"What a disastrous airline!!! Flight was delayed, Flight attendants were rude, no inflight entertainment, we waited several hours at the airport before being put in a hotel, hotel room was rubbish, dinner was rubbish, you have to ask for blanket inside the plane because they are not placed on seats and flight attendant told me “it’s finished” rudely when I politely asked. Plane was terrifyingly shaky during the flight. I was so scared. I could go on and on... it was my first experience with Egypt air and definitely will be my last."
196,"The whole experience was extremely awful. Got left with no explanation in an empty part of cairo airport where the staff kept my passport. I attempted to ask egyptair for assistance with this and their staff were incredibly rude and would not listen to a word I was saying. I attempted to ask them if the mistake that left me stuck there (a single mid 20's female) could have led to my bags being lost but they again refused to speak to me at all saying none of it was their problem. At my destination my bag was missing and since then the airline have completely refused to speak to me. I have had no response to emails, phone calls have been a loop of voice messages and tweets have been ignored. I did receive a response on facebook which was clearly a copy and paste version of their website telling me to check the online tracker which was created at the airport despite the fact I had messaged to notify them all details in the tracker were wrong. I honestly would have nothing to do with this airline again, you could not pay me to travel with them. And of course my luggage is still currently in the great abyss."
197,"They misplaced our luggage for 1 full week, we had to go to the airport grab them (ie: they could not deliver them to us!) and we got 100 USD compensation for the disturbance of 1 week without any belongings while on holidays."
198,"It’s very good airlines, they don’t accept delays, so you need to be there, they move on the time sharply, for example, if the flight at 5:35 it will move at that time if the airplane at not  Egyptian Airport, the food is acceptable compared with any airlines"
199,"I am writing these reviews from flight itself, waiting here from last 1hr 50 mins in side the plane waiting for flight to take off, the innocent excuse that flight attendant gave is “because SOME luggage is missing” , however it is clear that it is a technical issue, the question is?Is the plan condition is so detoriated Is there is no regular checks from the Aviation Ministry on the Aircrafts routine service."
200,"I had my luggage damaged and cannot be fuctional anymore! Plus I had my lock broken and items missing from my suitcase! This is very unacceptable as I do not feel safe flying with an airline which could rob me. I highly do not recommend flying with them as it is very unsafe, unreliable, and untrustworthy. Compensation procedure is a nightmare and have no proper office, nor helpline or anyone helpful!"
201,"I travelled via Egypt Air in September  - I must admit it was the worst journey, as air hostesses were rude and abrupt.  The Egypt Air lost my luggage (which was reported at Heathrow Airport on 10.09.2018), and to date they have not provided compensation, and don't bother responding to my emails and calls.  Absolutely rubbish service wouldn't recommend."
202,Egypt air damaged my baggage so bad I could not use it again put in a claim  was a nightmare no proper office been given the run around now for 4 months if this is how they treat business customers they need to up there game will never fly with is airline again poor in flight service terrible airline
203,"I had a very bad experience with this airline while traveling from Athens to Hurghada. Not only the flight from Athens was delayed and I lost the flight to Hurghada meaning that I arrived at my destination with many hours delay, my baggage did not arrive with me. As I was set to a cruise on the Red Sea I could only retrieve it upon my return to land. Of course, I requested Egyptair to reimburse my expenses. I had to purchase everything needed for my week on the cruise ship. After requesting the invoices, they never replied. I am trying to communicate with them by email but it is shown as blocked address. Did they block my email address? I registered a claim on their website... nothing. As this was not enough, the return flight was also delayed from Hurghada to Athens and eventually arrived at my destination with hours delay. Disastrous.. but at least they should reimburse me for the expenses I had."
204,Mumbai to Egypt flight is not good. If you are vegetarian don't travel by this airline or carry your own food.
205,"RightI book 2 weeks return flight from London to Cairo..paid 638 £They say they issue an elecronic ticket, that is a false. they issue a list with no bar code so you need when you get to the airport to print a ticket..The return flight from Cairo was schedule for 1650, two hours prior i am on their desks and one sending me to another claim is not me, or i finish...A guy asking me for money so i get first on a quegue...Finaly i give my passport and they say you are on waiting list !!!!I ask what you talking about and the guy makes a call from his mobile, later said is ok, and claims that the agent fron London put me on waiting..I show him my itenerary and he said i know.....I told him i have no agent, i psid fully and i got the ticket from their website....Going on the displays it shows delayed 1725...Arround 1800 I am sitting on the plane and finaly we took off 1930....The airhostage most of the time careless, droping things on the floor and running pushing themselves against you on the isle chair.When we arrive i took a blanket in my hand and on of them took it said  not allowed. Fair enough. My worst experience with airline ever."
206,"I fly at least 3 times per year with them, as I live in Egypt. The luggage allowance is amazing 2 x 23 kg and it's never a problem when it's 2 kgs more. Plus the trolley and handbag.The food is not so nice, but sometimes surprising good. I like to fly with them!"
207,Beware !   Egypt air bad choice.
208,"AM I REALLY A Dear Valued Customer, that is what they say. How can they continue to address us like that after about 100 emails. Our baggage was damaged attempted theft. Three of the 4 locks were forced. Egypt Air eventually admitted this and agreed to pay compensation but since we flew into Barcelona and dont have a Spanish bank account they say it is impossible. Now waiting over a year for compensation"
209,Worst airlines ever .The laziness and careless culture which has been implemented in those guys due to  100 years of using shisha on daily bases  has made them lazy . Careless .Able to create fake stories and tell lies .I appologize from the few good people over there.  But above is my personal openion after deali g with soo many companies and authorities including airport and egyptair .
210,"The worst airlines you can fly on. Price, integrity and service wise. Not recommended at all ! I wish there was an option for zero stars"
211,"I had a very bad experience with your airport.My flight was in the last Friday 16/3/2018,from Rome to Cairo my flight number is MS794 at 17:25 pm.I had 3  bags and the Egypt Air company employee make a trouble with me and didn't let me carry the third handbag with me on the plane and he insisted to take it in the check in as a third bag also he made me pay 100 euro extra fees for this extra bag.but when I arrived to Cairo I didn't receive the third bag and I did a report in Egypt Air company & all what they did was emailing the Fiumocino airport and told me that the bag was still there in Rome and didn't come with the flight.I am so upset and disappointed with the bad service and behavior of the employees of the company they are not cooperative or caring about my problem ."
212,"If you book EgyptAir (MS), some weeks before your flight MS send you an email inviting you to upgrade for ""up to 75% off"". The link in the email takes you to their partner - OptionTown.OptionTown 'goes to town' extolling the many benefits that will accrue if you upgrade. One of these is ""additional frequent flyer miles"" but this is false advertising. MS do NOT increase your miles in line with your increased fare.I pointed this out to EgyptAir who replied that it is their policy and they disown OptionTown misrepresenting them.It's worth noting that you never get 75% discount off the Business fare (one way). When you take into account the base fare already paid, then adding the additional amount for the upgrade, the discount works out at more like 40%.Since most Frequent Traveller programs have moved from crediting miles flown to *revenue earned*, it is unacceptable for an airline like MS (who do credit based on revenue) to apply miles based on the original discounted economy fare paid.Absolutely cheap move by EgyptAir showing they fundamentally do not understand how reward systems work.. They don't work when they fail to recognise that they earned higher revenue.I can only assume that the Marketing or Loyalty department of MS is staffed with unqualified people.If you add in that their Cairo frequent flyer lounge which has  uncomfortable seats, snacks nobody wants to eat, and a refusal to offer alcohol for their non-Islamic guests (neither on the flight), travel in any class on MS has to be a necessity. The competition (Gulf airlines) or Ethiopian Airlines offering lower fares and far better in-flight catering and alcohol, it's a wonder that people do fly with them..."
213,Actually I tried other airlines like Swiss air and ethad but in comparison Egyptair is better because I always need 2 bags with me and it cost me a lot in any other airlines but egyptair allows for 2 bags 23kg as standard for international flights with a good price compared to other companies plus it's arrival and departure time is good specially for Europe trips also the landing and takeoff is very good and the food and crew are ok I hadn't any problems with them. They only have to have other cheaper options to compete better with other cheaper airlines and change their meals from time to time and be more accurate in takeoff times.
214,"Lies and  bad excuses form the office in Copenhagen when you have to have money back from them. They try to procrastinate and hope you've forgotten all about the money.Be aware that you don't get any compensation if your flight is delayed several hours and consequently you can't reach your connecting flight and therefore you have to pay for a new ticket.However, you get a juice or a soft drink - great!Never ever Egyptair"
215,"I recently flew Johannesburg-Cairo-Casablanca, without having made a request for a vegetarian meal.  On the 8-hour overnight JNB-Cairo flight, the crew upon realizing my predicament of not having ordered a special meal, got me a vegetarian meal from the first class.  I was also asked to contact Egypt Air Connection desk in Cairo and ask them to get a Veg Meal for the Cairo-Casablanca flight.  I did so and within 3 hours, on the flight I had the veg meal!  This is an unbelievable level of service.  Go Egypt Air!"
216,Great company to fly with polite staff and friendly. Plenty of room on the flight and entertainment. Only problem I have is that egyptair needs to lower there price from London Heathrow or Gatwick to sharm el sheikh for the British people to be able to keep using the company to sharm. Please lower your prices.
217,"I booked a going and back ticket with Travelgenio. The going ticket is on Aegean Air and back ticket on Egypt Air. I had a spelling mistake in my last name, just missed one letter. So I contacted Travelgenio, Aegean Air and Egypt Air with emails to correct the problem. Egypt air responded to me in the same day, and corrected the name in ONE DAY. Travelgenio and Aegean air contacted me after 2-3 weeks with ""please contact our customer service "" and ""please contact your travel agency"". I am calling Travelgenio customer service every couple of days with just the answer ""Aegean Air haven't responded to us yet"". Today I got the same answer + ""we recommend, that you cancel the flight and book another one, because we haven't get any answer. And when we later get an answer, it will be negative answer. And this will cost you 90 Euro "". So I have given a bad review for Aegean air and Travelgenio, so Egypt air deserves 5 star for their fast and positive solving for the problem."
218,"I ended up with a cancelled flight, facing 18 hours in Sharm El-Sheikh Airport awaiting the next available flight. My travel agents failed to inform me of the cancellation, even though they had been told this by Egyptair the day before. Egyptair pulled out all the stops and got me back to London the same day, even placing me on a British Airways flight at their own expense. I am extremely impressed with this - I am not sure any other airline would have done the same. I could not recommend them (and in particular the Egyptair staff at Sharm El-Sheikh Airport who were on duty on Monday 18th May 2015) highly enough."
